State,Sex,Age group,COVID-19 Deaths
New York,Unknown,18-29 years,0
New York,Unknown,30-49 years,0
New York,Unknown,50-64 years,0
New York,Unknown,65-74 years,0
New York,Unknown,75-84 years,0
New York,Unknown,85 years and over,0
North Carolina,All Sexes,All Ages,3054
North Carolina,Male,All Ages,1592
North Carolina,Male,0-17 years,0
North Carolina,Male,18-29 years,0
North Carolina,Male,30-49 years,102
North Carolina,Male,50-64 years,296
North Carolina,Male,65-74 years,388
North Carolina,Male,75-84 years,446
North Carolina,Male,85 years and over,353
North Carolina,Female,All Ages,1462
North Carolina,Female,0-17 years,0
North Carolina,Female,18-29 years,0
North Carolina,Female,30-49 years,44
North Carolina,Female,50-64 years,169
North Carolina,Female,65-74 years,302
North Carolina,Female,75-84 years,377
North Carolina,Female,85 years and over,566
North Carolina,Unknown,All Ages,0
North Carolina,Unknown,0-17 years,0
North Carolina,Unknown,18-29 years,0
North Carolina,Unknown,30-49 years,0
North Carolina,Unknown,50-64 years,0
North Carolina,Unknown,65-74 years,0
North Carolina,Unknown,75-84 years,0
North Carolina,Unknown,85 years and over,0
North Dakota,All Sexes,All Ages,692
North Dakota,Male,All Ages,384
North Dakota,Male,0-17 years,0
North Dakota,Male,18-29 years,0
North Dakota,Male,30-49 years,16
North Dakota,Male,50-64 years,54
North Dakota,Male,65-74 years,70
North Dakota,Male,75-84 years,90
North Dakota,Male,85 years and over,152
North Dakota,Female,All Ages,308
North Dakota,Female,0-17 years,0
North Dakota,Female,18-29 years,0
North Dakota,Female,30-49 years,0
North Dakota,Female,50-64 years,14
North Dakota,Female,65-74 years,39
North Dakota,Female,75-84 years,87
North Dakota,Female,85 years and over,160
North Dakota,Unknown,All Ages,0
North Dakota,Unknown,0-17 years,0
North Dakota,Unknown,18-29 years,0
North Dakota,Unknown,30-49 years,0
North Dakota,Unknown,50-64 years,0
North Dakota,Unknown,65-74 years,0
North Dakota,Unknown,75-84 years,0
North Dakota,Unknown,85 years and over,0
Ohio,All Sexes,All Ages,5978
Ohio,Male,All Ages,3069
Ohio,Male,0-17 years,0
Ohio,Male,18-29 years,0
Ohio,Male,30-49 years,84
Ohio,Male,50-64 years,418
Ohio,Male,65-74 years,751
Ohio,Male,75-84 years,930
Ohio,Male,85 years and over,882
Ohio,Female,All Ages,2909
Ohio,Female,0-17 years,0
Ohio,Female,18-29 years,0
Ohio,Female,30-49 years,40
Ohio,Female,50-64 years,228
Ohio,Female,65-74 years,439
Ohio,Female,75-84 years,868
Ohio,Female,85 years and over,1326
Ohio,Unknown,All Ages,0
Ohio,Unknown,0-17 years,0
Ohio,Unknown,18-29 years,0
Ohio,Unknown,30-49 years,0
Ohio,Unknown,50-64 years,0
Ohio,Unknown,65-74 years,0
Ohio,Unknown,75-84 years,0
Ohio,Unknown,85 years and over,0
Oklahoma,All Sexes,All Ages,2025
Oklahoma,Male,All Ages,1116
Oklahoma,Male,0-17 years,0
Oklahoma,Male,18-29 years,0
Oklahoma,Male,30-49 years,37
Oklahoma,Male,50-64 years,169
Oklahoma,Male,65-74 years,277
Oklahoma,Male,75-84 years,331
Oklahoma,Male,85 years and over,292
Oklahoma,Female,All Ages,909
Oklahoma,Female,0-17 years,0
Oklahoma,Female,18-29 years,0
Oklahoma,Female,30-49 years,34
Oklahoma,Female,50-64 years,106
Oklahoma,Female,65-74 years,220
Oklahoma,Female,75-84 years,251
Oklahoma,Female,85 years and over,295
Oklahoma,Unknown,All Ages,0
Oklahoma,Unknown,0-17 years,0
Oklahoma,Unknown,18-29 years,0
Oklahoma,Unknown,30-49 years,0
Oklahoma,Unknown,50-64 years,0
Oklahoma,Unknown,65-74 years,0
Oklahoma,Unknown,75-84 years,0
Oklahoma,Unknown,85 years and over,0
Oregon,All Sexes,All Ages,740
Oregon,Male,All Ages,400
Oregon,Male,0-17 years,0
Oregon,Male,18-29 years,0
Oregon,Male,30-49 years,15
Oregon,Male,50-64 years,76
Oregon,Male,65-74 years,81
Oregon,Male,75-84 years,118
Oregon,Male,85 years and over,110
Oregon,Female,All Ages,340
Oregon,Female,0-17 years,0
Oregon,Female,18-29 years,0
Oregon,Female,30-49 years,0
Oregon,Female,50-64 years,33
Oregon,Female,65-74 years,56
Oregon,Female,75-84 years,90
Oregon,Female,85 years and over,154
Oregon,Unknown,All Ages,0
Oregon,Unknown,0-17 years,0
Oregon,Unknown,18-29 years,0
Oregon,Unknown,30-49 years,0
Oregon,Unknown,50-64 years,0
Oregon,Unknown,65-74 years,0
Oregon,Unknown,75-84 years,0
Oregon,Unknown,85 years and over,0
Pennsylvania,All Sexes,All Ages,9863
Pennsylvania,Male,All Ages,4838
Pennsylvania,Male,0-17 years,0
Pennsylvania,Male,18-29 years,19
Pennsylvania,Male,30-49 years,140
Pennsylvania,Male,50-64 years,663
Pennsylvania,Male,65-74 years,1043
Pennsylvania,Male,75-84 years,1430
Pennsylvania,Male,85 years and over,1541
Pennsylvania,Female,All Ages,5025
Pennsylvania,Female,0-17 years,0
Pennsylvania,Female,18-29 years,0
Pennsylvania,Female,30-49 years,69
Pennsylvania,Female,50-64 years,369
Pennsylvania,Female,65-74 years,717
Pennsylvania,Female,75-84 years,1186
Pennsylvania,Female,85 years and over,2679
Pennsylvania,Unknown,All Ages,0
Pennsylvania,Unknown,0-17 years,0
Pennsylvania,Unknown,18-29 years,0
Pennsylvania,Unknown,30-49 years,0
Pennsylvania,Unknown,50-64 years,0
Pennsylvania,Unknown,65-74 years,0
Pennsylvania,Unknown,75-84 years,0
Pennsylvania,Unknown,85 years and over,0
Rhode Island,All Sexes,All Ages,1218
Rhode Island,Male,All Ages,564
Rhode Island,Male,0-17 years,0
Rhode Island,Male,18-29 years,0
Rhode Island,Male,30-49 years,19
Rhode Island,Male,50-64 years,70
Rhode Island,Male,65-74 years,125
Rhode Island,Male,75-84 years,164
Rhode Island,Male,85 years and over,185
Rhode Island,Female,All Ages,654
Rhode Island,Female,0-17 years,0
Rhode Island,Female,18-29 years,0
Rhode Island,Female,30-49 years,0
Rhode Island,Female,50-64 years,31
Rhode Island,Female,65-74 years,95
Rhode Island,Female,75-84 years,152
Rhode Island,Female,85 years and over,368
Rhode Island,Unknown,All Ages,0
Rhode Island,Unknown,0-17 years,0
Rhode Island,Unknown,18-29 years,0
Rhode Island,Unknown,30-49 years,0
Rhode Island,Unknown,50-64 years,0
Rhode Island,Unknown,65-74 years,0
Rhode Island,Unknown,75-84 years,0
Rhode Island,Unknown,85 years and over,0
South Carolina,All Sexes,All Ages,3988
South Carolina,Male,All Ages,2023
South Carolina,Male,0-17 years,0
South Carolina,Male,18-29 years,10
South Carolina,Male,30-49 years,106
South Carolina,Male,50-64 years,320
South Carolina,Male,65-74 years,506
South Carolina,Male,75-84 years,671
South Carolina,Male,85 years and over,409
South Carolina,Female,All Ages,1965
South Carolina,Female,0-17 years,0
South Carolina,Female,18-29 years,0
South Carolina,Female,30-49 years,47
South Carolina,Female,50-64 years,269
South Carolina,Female,65-74 years,442
South Carolina,Female,75-84 years,535
South Carolina,Female,85 years and over,664
South Carolina,Unknown,All Ages,0
South Carolina,Unknown,0-17 years,0
South Carolina,Unknown,18-29 years,0
South Carolina,Unknown,30-49 years,0
South Carolina,Unknown,50-64 years,0
South Carolina,Unknown,65-74 years,0
South Carolina,Unknown,75-84 years,0
South Carolina,Unknown,85 years and over,0
South Dakota,All Sexes,All Ages,606
South Dakota,Male,All Ages,326
South Dakota,Male,0-17 years,0
South Dakota,Male,18-29 years,0
South Dakota,Male,30-49 years,18
South Dakota,Male,50-64 years,48
South Dakota,Male,65-74 years,60
South Dakota,Male,75-84 years,92
South Dakota,Male,85 years and over,107
South Dakota,Female,All Ages,280
South Dakota,Female,0-17 years,0
South Dakota,Female,18-29 years,0
South Dakota,Female,30-49 years,0
South Dakota,Female,50-64 years,28
South Dakota,Female,65-74 years,42
South Dakota,Female,75-84 years,65
South Dakota,Female,85 years and over,135
South Dakota,Unknown,All Ages,0
South Dakota,Unknown,0-17 years,0
South Dakota,Unknown,18-29 years,0
South Dakota,Unknown,30-49 years,0
South Dakota,Unknown,50-64 years,0
South Dakota,Unknown,65-74 years,0
South Dakota,Unknown,75-84 years,0
South Dakota,Unknown,85 years and over,0
Tennessee,All Sexes,All Ages,4018
Tennessee,Male,All Ages,2240
Tennessee,Male,0-17 years,0
Tennessee,Male,18-29 years,0
Tennessee,Male,30-49 years,108
Tennessee,Male,50-64 years,405
Tennessee,Male,65-74 years,582
Tennessee,Male,75-84 years,706
Tennessee,Male,85 years and over,431
Tennessee,Female,All Ages,1778
Tennessee,Female,0-17 years,0
Tennessee,Female,18-29 years,0
Tennessee,Female,30-49 years,70
Tennessee,Female,50-64 years,271
Tennessee,Female,65-74 years,397
Tennessee,Female,75-84 years,506
Tennessee,Female,85 years and over,525
Tennessee,Unknown,All Ages,0
Tennessee,Unknown,0-17 years,0
Tennessee,Unknown,18-29 years,0
Tennessee,Unknown,30-49 years,0
Tennessee,Unknown,50-64 years,0
Tennessee,Unknown,65-74 years,0
Tennessee,Unknown,75-84 years,0
Tennessee,Unknown,85 years and over,0
Texas,All Sexes,All Ages,21219
Texas,Male,All Ages,12230
Texas,Male,0-17 years,14
Texas,Male,18-29 years,92
Texas,Male,30-49 years,1009
Texas,Male,50-64 years,2924
Texas,Male,65-74 years,3169
Texas,Male,75-84 years,3044
Texas,Male,85 years and over,1978
Texas,Female,All Ages,8989
Texas,Female,0-17 years,13
Texas,Female,18-29 years,50
Texas,Female,30-49 years,509
Texas,Female,50-64 years,1612
Texas,Female,65-74 years,2038
Texas,Female,75-84 years,2261
Texas,Female,85 years and over,2506
Texas,Unknown,All Ages,0
Texas,Unknown,0-17 years,0
Texas,Unknown,18-29 years,0
Texas,Unknown,30-49 years,0
Texas,Unknown,50-64 years,0
Texas,Unknown,65-74 years,0
Texas,Unknown,75-84 years,0
Texas,Unknown,85 years and over,0
Utah,All Sexes,All Ages,812
Utah,Male,All Ages,503
Utah,Male,0-17 years,0
Utah,Male,18-29 years,0
Utah,Male,30-49 years,35
Utah,Male,50-64 years,93
Utah,Male,65-74 years,113
Utah,Male,75-84 years,148
Utah,Male,85 years and over,109
Utah,Female,All Ages,309
Utah,Female,0-17 years,0
Utah,Female,18-29 years,0
Utah,Female,30-49 years,15
Utah,Female,50-64 years,42
Utah,Female,65-74 years,70
Utah,Female,75-84 years,85
Utah,Female,85 years and over,96
Utah,Unknown,All Ages,0
Utah,Unknown,0-17 years,0
Utah,Unknown,18-29 years,0
Utah,Unknown,30-49 years,0
Utah,Unknown,50-64 years,0
Utah,Unknown,65-74 years,0
Utah,Unknown,75-84 years,0
Utah,Unknown,85 years and over,0
Vermont,All Sexes,All Ages,63
Vermont,Male,All Ages,36
Vermont,Male,0-17 years,0
Vermont,Male,18-29 years,0
Vermont,Male,30-49 years,0
Vermont,Male,50-64 years,0
Vermont,Male,65-74 years,0
Vermont,Male,75-84 years,16
Vermont,Male,85 years and over,0
Vermont,Female,All Ages,27
Vermont,Female,0-17 years,0
Vermont,Female,18-29 years,0
Vermont,Female,30-49 years,0
Vermont,Female,50-64 years,0
Vermont,Female,65-74 years,0
Vermont,Female,75-84 years,0
Vermont,Female,85 years and over,12
Vermont,Unknown,All Ages,0
Vermont,Unknown,0-17 years,0
Vermont,Unknown,18-29 years,0
Vermont,Unknown,30-49 years,0
Vermont,Unknown,50-64 years,0
Vermont,Unknown,65-74 years,0
Vermont,Unknown,75-84 years,0
Vermont,Unknown,85 years and over,0
Virginia,All Sexes,All Ages,3981
Virginia,Male,All Ages,2021
Virginia,Male,0-17 years,0
Virginia,Male,18-29 years,0
Virginia,Male,30-49 years,92
Virginia,Male,50-64 years,359
Virginia,Male,65-74 years,466
Virginia,Male,75-84 years,580
Virginia,Male,85 years and over,518
Virginia,Female,All Ages,1959
Virginia,Female,0-17 years,0
Virginia,Female,18-29 years,0
Virginia,Female,30-49 years,47
Virginia,Female,50-64 years,194
Virginia,Female,65-74 years,358
Virginia,Female,75-84 years,522
Virginia,Female,85 years and over,836
Virginia,Unknown,All Ages,0
Virginia,Unknown,0-17 years,0
Virginia,Unknown,18-29 years,0
Virginia,Unknown,30-49 years,0
Virginia,Unknown,50-64 years,0
Virginia,Unknown,65-74 years,0
Virginia,Unknown,75-84 years,0
Virginia,Unknown,85 years and over,0
Washington,All Sexes,All Ages,2249
Washington,Male,All Ages,1230
Washington,Male,0-17 years,0
Washington,Male,18-29 years,0
Washington,Male,30-49 years,51
Washington,Male,50-64 years,189
Washington,Male,65-74 years,266
Washington,Male,75-84 years,334
Washington,Male,85 years and over,382
Washington,Female,All Ages,1019
Washington,Female,0-17 years,0
Washington,Female,18-29 years,0
Washington,Female,30-49 years,23
Washington,Female,50-64 years,92
Washington,Female,65-74 years,193
Washington,Female,75-84 years,264
Washington,Female,85 years and over,445
Washington,Unknown,All Ages,0
Washington,Unknown,0-17 years,0
Washington,Unknown,18-29 years,0
Washington,Unknown,30-49 years,0
Washington,Unknown,50-64 years,0
Washington,Unknown,65-74 years,0
Washington,Unknown,75-84 years,0
Washington,Unknown,85 years and over,0
West Virginia,All Sexes,All Ages,426
West Virginia,Male,All Ages,202
West Virginia,Male,0-17 years,0
West Virginia,Male,18-29 years,0
West Virginia,Male,30-49 years,0
West Virginia,Male,50-64 years,18
West Virginia,Male,65-74 years,58
West Virginia,Male,75-84 years,74
West Virginia,Male,85 years and over,51
West Virginia,Female,All Ages,223
West Virginia,Female,0-17 years,0
West Virginia,Female,18-29 years,0
West Virginia,Female,30-49 years,0
West Virginia,Female,50-64 years,20
West Virginia,Female,65-74 years,56
West Virginia,Female,75-84 years,59
West Virginia,Female,85 years and over,80
West Virginia,Unknown,All Ages,0
West Virginia,Unknown,0-17 years,0
West Virginia,Unknown,18-29 years,0
West Virginia,Unknown,30-49 years,0
West Virginia,Unknown,50-64 years,0
West Virginia,Unknown,65-74 years,0
West Virginia,Unknown,75-84 years,0
West Virginia,Unknown,85 years and over,0
Wisconsin,All Sexes,All Ages,3185
Wisconsin,Male,All Ages,1732
Wisconsin,Male,0-17 years,0
Wisconsin,Male,18-29 years,0
Wisconsin,Male,30-49 years,50
Wisconsin,Male,50-64 years,206
Wisconsin,Male,65-74 years,383
Wisconsin,Male,75-84 years,533
Wisconsin,Male,85 years and over,552
Wisconsin,Female,All Ages,1453
Wisconsin,Female,0-17 years,0
Wisconsin,Female,18-29 years,0
Wisconsin,Female,30-49 years,29
Wisconsin,Female,50-64 years,127
Wisconsin,Female,65-74 years,234
Wisconsin,Female,75-84 years,393
Wisconsin,Female,85 years and over,664
Wisconsin,Unknown,All Ages,0
Wisconsin,Unknown,0-17 years,0
Wisconsin,Unknown,18-29 years,0
Wisconsin,Unknown,30-49 years,0
Wisconsin,Unknown,50-64 years,0
Wisconsin,Unknown,65-74 years,0
Wisconsin,Unknown,75-84 years,0
Wisconsin,Unknown,85 years and over,0
Wyoming,All Sexes,All Ages,172
Wyoming,Male,All Ages,91
Wyoming,Male,0-17 years,0
Wyoming,Male,18-29 years,0
Wyoming,Male,30-49 years,0
Wyoming,Male,50-64 years,0
Wyoming,Male,65-74 years,23
Wyoming,Male,75-84 years,31
Wyoming,Male,85 years and over,25
Wyoming,Female,All Ages,81
Wyoming,Female,0-17 years,0
Wyoming,Female,18-29 years,0
Wyoming,Female,30-49 years,0
Wyoming,Female,50-64 years,0
Wyoming,Female,65-74 years,0
Wyoming,Female,75-84 years,24
Wyoming,Female,85 years and over,38
Wyoming,Unknown,All Ages,0
Wyoming,Unknown,0-17 years,0
Wyoming,Unknown,18-29 years,0
Wyoming,Unknown,30-49 years,0
Wyoming,Unknown,50-64 years,0
Wyoming,Unknown,65-74 years,0
Wyoming,Unknown,75-84 years,0
Wyoming,Unknown,85 years and over,0
