facility,state,nameOfFacility,date,confirmedResidents,confirmedStaff,deathsResidents,deathsStaff,residentsRecovered,staffRecovered,residentsTested,staffTested,residentPopulation,address,zipcode,city,county,latitude,longitude,FIPS
state,Arizona,FLORENCE WEST,12/2/2020,1,,0,,0,,481,,,915 EAST DIVERSION DAM ROAD,85132,FLORENCE,PINAL,33.037233,-111.376527,4021
state,Arizona,KINGMAN,12/2/2020,55,,1,,54,,"2,694",,,4626 WEST ENGLISH DRIVE,86414,GOLDEN VALLEY,MOHAVE,35.02891497,-114.1796097,4015
state,Arizona,LEWIS,12/2/2020,282,,2,,276,,"4,177",,4623,26700 S HWY 85,85326,BUCKEYE,MARICOPA,33.2085241,-112.6514629,4013
state,Arizona,MARANA,12/2/2020,9,,0,,8,,340,,,12610 W SILVERBELL RD,85653,MARANA,PIMA,32.41791032,-111.2412161,4019
county,Arizona,MARICOPA COUNTY JAIL,12/2/2020,1742,,0,,662,,"19,363",,,,,,,,,
state,Arizona,MRC,12/2/2020,0,,0,,0,,0,,,24601 N 29TH AVE,85027,PHOENIX,MARICOPA,33.70669655,-112.1194385,4013
state,Arizona,PERRYVILLE,12/2/2020,92,,0,,76,,"4,296",,4336,2105 N CITRUS RD,85395,GOODYEAR,MARICOPA,33.47038654,-112.4377658,4013
state,Arizona,PHOENIX,12/2/2020,387,,0,,310,,"3,961",,544,2500 E VAN BUREN ST,85008,PHOENIX,MARICOPA,33.45312989,-112.0250399,4013
federal,Arizona,PHOENIX FCI,12/2/2020,72,,0,0,42,17,540,,,,,,,,,
state,Arizona,PHOENIX WEST,12/2/2020,7,,0,,1,,362,,,3402 W COCOPAH ST,85009,PHOENIX,MARICOPA,33.43277711,-112.1326085,4013
state,Arizona,PRC,12/2/2020,0,,0,,0,,0,,,1275 W STARR PASS BLVD,85713,TUCSON,PIMA,32.2037634,-110.9909333,4019
state,Arizona,RED ROCK,12/2/2020,72,,0,,70,,"1,674",,,1750 EAST ARICA ROAD,85131,ELOY,PINAL,32.81056,-111.5196,4021
state,Arizona,SAFFORD,12/2/2020,13,,0,,12,,"1,444",,1579,896 S COOK RD,85546,SAFFORD,GRAHAM,32.82810149,-109.5636396,4009
federal,Arizona,SAFFORD FCI,12/2/2020,17,,0,0,5,2,228,,,,,,,,,
state,Arizona,STATEWIDE,12/2/2020,,1150,,,,916,,,,,,,,,,
state,Arizona,TUCSON,12/2/2020,1162,,11,,981,,"5,202",,,10000 S WILMOT RD,85734,TUCSON,PIMA,32.06640097,-110.8663122,4019
federal,Arizona,TUCSON FCI,12/2/2020,142,,0,0,85,7,266,,,8901 S WILMOT RD,85706,TUCSON,PIMA,32.08957049,-110.8562398,4019
federal,Arizona,TUCSON USP,12/2/2020,605,,2,0,550,7,"1,205",,,9300 S WILMOT RD,85756,TUCSON,PIMA,32.08384226,-110.867108,4019
state,Arizona,WINSLOW,12/2/2020,30,,0,,11,,"1,279",,1295,2100 S HWY 87,86047,WINSLOW,NAVAJO,34.98471625,-110.7210891,4017
state,Arizona,YUMA,12/2/2020,182,,2,,135,,"4,459",,4876,7125 E CESAR CHAVEZ BLVD,85349,SAN LUIS,YUMA,32.48750181,-114.6397153,4027
federal,Arkansas,CITY FAITH LITTLE ROCK AR,12/2/2020,1,,0,0,1,0,1,,,,,,,,,
federal,Arkansas,FORREST CITY LOW FCI,12/2/2020,658,,0,0,612,4,"1,554",,,1400 DALE BUMPERS ROAD,72335,FORREST CITY,ST FRANCIS,34.98233926,-90.80306156,5123
federal,Arkansas,FORREST CITY MEDIUM FCI,12/2/2020,125,,0,0,105,5,"1,080",,,1400 DALE BUMPERS ROAD,72335,FORREST CITY,ST FRANCIS,34.98233926,-90.80306156,5123
state,Arkansas,STATEWIDE,12/2/2020,9014,,,,8606,,"19,960",,,,,,,,,
state,California,ASP AVENAL STATE PRISON,12/2/2020,2989,347,8,,2896,308,,,4204,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031
federal,California,ATWATER USP,12/2/2020,27,,0,0,17,11,346,,,,,,,,,
federal,California,BRAWLEY RRC,12/2/2020,9,,1,0,2,0,9,,,,,,,,,
state,California,CAC CALIFORNIA CITY CORRECTIONAL FACILITY,12/2/2020,97,56,0,,4,39,,,,22844 VIRGINIA BLVD,93505,CALIFORNIA CITY,KERN,35.1532512,-117.8588801,6029
state,California,CAL CALIPATRIA STATE PRISON,12/2/2020,266,163,0,,93,113,,,3109,7018 BLAIR ROAD,92233,CALIPATRIA,IMPERIAL,33.16569337,-115.484344,6025
state,California,CCC CALIFORNIA CORRECTIONAL CENTER,12/2/2020,690,60,0,,626,38,,,4049,711-045 CENTER ROAD,96127,SUSANVILLE,LASSEN,40.40195801,-120.5167302,6035
state,California,CCI CALIFORNIA CORRECTIONAL INSTITUTION,12/2/2020,875,259,0,,796,192,,,3696,24900 HWY 202,93561,TEHACHAPI,KERN,35.10991489,-118.5703307,6029
state,California,CCWF CENTRAL CA WOMENS FACILITY,12/2/2020,17,76,0,,16,48,,,2814,23370 ROAD 22,93610,CHOWCHILLA,MADERA,37.09368073,-120.1527098,6039
state,California,CDCR CCHCS WORKSITE LOCATION FRESNO COUNTY,12/2/2020,,4,,,,2,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION IMPERIAL COUNTY,12/2/2020,,1,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION KERN COUNTY,12/2/2020,,8,,,,5,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION LOS ANGELES COUNTY,12/2/2020,,20,,,,14,,,,,,,,,,6037
state,California,CDCR CCHCS WORKSITE LOCATION MENDOCINO COUNTY,12/2/2020,,2,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION MONTEREY COUNTY,12/2/2020,,2,,,,2,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION ORANGE COUNTY,12/2/2020,,5,,,,4,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION SAN LUIS OBISPO COUNTY,12/2/2020,,0,,,,0,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION SANTA BARBARA COUNTY,12/2/2020,,1,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION SANTA CLARA COUNTY,12/2/2020,,1,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION SOLANO COUNTY,12/2/2020,,1,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION STANISLAUS COUNTY,12/2/2020,,1,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION TULARE COUNTY,12/2/2020,,1,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE LOCATION VENTURA COUNTY,12/2/2020,,3,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE RIVERSIDE COUNTY,12/2/2020,,3,,,,3,,,,,,,,,,6065
state,California,CDCR CCHCS WORKSITE SACRAMENTO COUNTY,12/2/2020,,80,,,,53,,,,,,,,,,6067
state,California,CDCR CCHCS WORKSITE SAN BERNARDINO COUNTY,12/2/2020,,17,,,,7,,,,,,,,,,6071
state,California,CDCR CCHCS WORKSITE SAN DIEGO COUNTY,12/2/2020,,1,,,,1,,,,,,,,,,
state,California,CDCR CCHCS WORKSITE SAN JOAQUIN COUNTY,12/2/2020,,2,,,,2,,,,,,,,,,
state,California,CEN CALIFORNIA STATE PRISON CENTINELA,12/2/2020,215,186,0,,66,117,,,3475,2302 BROWN ROAD,92251,IMPERIAL,IMPERIAL,32.82339731,-115.7890555,6025
state,California,CHADERJIAN YOUTH CORRECTIONAL FACILITY,12/2/2020,,12,,,,7,,,,7650 SOUTH NEWCASTLE ROAD,95215,STOCKTON,SAN JOAQUIN,37.8911829,-121.1978212,6077
state,California,CHCF CALIFORNIA HEALTH CARE FACILITY,12/2/2020,27,201,1,,8,146,,,,7707 AUSTIN ROAD,95215,STOCKTON,SAN JOAQUIN,37.8947278,-121.1848441,6077
state,California,CIM CALIFORNIA INSTITUTION FOR MEN,12/2/2020,1420,299,27,,1354,260,,,3627,14901 CENTRAL AVENUE,91710,CHINO,SAN BERNARDINO,33.98471223,-117.6823919,6071
state,California,CIW CALIFORNIA INSTITUTION FOR WOMEN,12/2/2020,354,111,1,,342,97,,,1619,16756 CHINO-CORONA ROAD,92880,CORONA,SAN BERNARDINO,33.94974531,-117.636365,6071
state,California,CMC CALIFORNIA MENS COLONY,12/2/2020,308,95,2,,298,85,,,3758,COLONY DRIVE,93409,SAN LUIS OBISPO,SAN LUIS OBISPO,35.32457413,-120.6989005,6079
state,California,CMF CALIFORNIA MEDICAL FACILITY,12/2/2020,11,88,0,,7,67,,,2512,1600 CALIFORNIA DRIVE,95696,VACAVILLE,SOLANO,38.32851019,-121.9791645,6095
state,California,COR CALIFORNIA STATE PRISON CORCORAN,12/2/2020,434,320,1,,379,271,,,3043,4001 KING AVENUE,93212,CORCORAN,KINGS,36.06081823,-119.549121,6031
federal,California,CORRECTIONAL ALTERNATIVES INC RRC SAN DIEGO,12/2/2020,10,,0,0,8,0,12,,,,,,,,,
state,California,CRC CALIFORNIA REHABILITATION CENTER,12/2/2020,1667,199,0,,1612,164,,,3802,3195 WESTERN AVENUE,92860,NORCO,RIVERSIDE,33.92691794,-117.5759442,6065
state,California,CTF CORRECTIONAL TRAINING FACILITY,12/2/2020,868,132,2,,540,104,,,5063,SOLEDAD PRISON ROAD,93960,SOLEDAD,MONTEREY,36.46964789,-121.3822324,6053
state,California,CVSP CHUCKAWALLA VALLEY STATE PRISON,12/2/2020,1775,170,8,,1727,130,,,2773,19025 WILEYS WELL ROAD,92225,BLYTHE,RIVERSIDE,33.56257951,-114.9095058,6065
federal,California,DUBLIN FCI,12/2/2020,15,,0,0,9,6,323,,,5701 8TH STREET,94568,DUBLIN,ALAMEDA,,,6001
state,California,DVI DEUEL VOCATIONAL INSTITUTION,12/2/2020,6,77,0,,0,70,,,2052,23500 KASSON ROAD,95304,TRACY,SAN JOAQUIN,37.74805759,-121.3306264,6077
state,California,FSP FOLSOM STATE PRISON,12/2/2020,1351,108,2,,1328,96,,,,300 PRISON ROAD,95671,REPRESA,SACRAMENTO,38.69538339,-121.1630324,6067
federal,California,GEO CARE EL MONTE,12/2/2020,1,,0,0,1,0,1,,,,,,,,,
federal,California,GEO REENTRY OF ALASKA INC RRC OAKLAND,12/2/2020,4,,0,0,0,0,5,,,,,,,,,2020
state,California,HDSP HIGH DESERT STATE PRISON,12/2/2020,947,159,1,,495,62,,,3161,475-750 RICE CANYON ROAD,96127,SUSANVILLE,LASSEN,40.4034569,-120.5258579,6035
federal,California,HERLONG FCI,12/2/2020,61,,0,0,12,6,523,,,,,,,,,
state,California,ISP IRONWOOD STATE PRISON,12/2/2020,115,157,1,,109,137,,,2896,19005 WILEYS WELL ROAD,92225,BLYTHE,RIVERSIDE,33.56098104,-114.9260354,6065
state,California,KVSP KERN VALLEY STATE PRISON,12/2/2020,137,146,0,,15,108,,,3551,3000 WEST CECIL AVENUE,93216,DELANO,KERN,35.76647437,-119.3253627,6029
state,California,LAC CALIFORNIA STATE PRISON LOS ANGELES COUNTY,12/2/2020,218,159,0,,192,121,,,3218,44750 60TH STREET WEST,93536,LANCASTER,LOS ANGELES,34.69359649,-118.2276136,6037
federal,California,LOMPOC FCI,12/2/2020,697,,2,0,694,19,947,,,3600 GUARD RD,93436,LOMPOC,SANTA BARBARA,34.67675537,-120.4994621,6083
federal,California,LOMPOC USP,12/2/2020,156,,2,0,141,28,898,,,3901 KLEIN BLVD,93436,LOMPOC,SANTA BARBARA,34.67918746,-120.5054801,6083
county,California,LOS ANGELES JAILS,12/2/2020,3571,1263,9,,3208,,"36,057",,,,,,,34.0591,-118.2321,6037
federal,California,LOS ANGELES MDC,12/2/2020,297,,0,0,191,10,541,,,535 NORTH ALAMEDA STREET,90012,LOS ANGELES,LOS ANGELES,34.0536306,-118.238468,6037
state,California,MCSP MULE CREEK STATE PRISON,12/2/2020,211,103,1,,43,77,,,4007,4001 STATE HIGHWAY 104,95640,IONE,AMADOR,38.37074335,-120.9534458,6005
federal,California,MENDOTA FCI,12/2/2020,79,,0,0,13,9,509,,,,,,,,,
state,California,NCYCC NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER,12/2/2020,,13,,,,12,,,,7650 SOUTH NEWCASTLE ROAD,95215,STOCKTON,SAN JOAQUIN,37.8911829,-121.1978213,6077
state,California,NKSP NORTH KERN STATE PRISON,12/2/2020,133,305,0,,85,261,,,4355,2737 WEST CECIL AVENUE,93215,DELANO,KERN,35.78188512,-119.3098757,6029
state,California,OH CLOSE YOUTH CORRECTIONAL FACILITY,12/2/2020,,11,,,,8,,,,7650 SOUTH NEWCASTLE ROAD,95213,STOCKTON,SAN JOAQUIN,37.89852126,-121.1976947,6077
county,California,ORANGE COUNTY JAILS,12/2/2020,594,,,,583,,"6,787",,,,,,,,,
state,California,PBSP PELICAN BAY STATE PRISON,12/2/2020,36,72,0,,3,57,,,2648,5905 LAKE EARL DRIVE,95531,CRESCENT CITY,DEL NORTE,41.85480851,-124.1490751,6015
state,California,PINE GROVE JUVENILE PRISON CAMP,12/2/2020,,2,,,,0,,,,,,,,,,
state,California,PVSP PLEASANT VALLEY STATE PRISON,12/2/2020,708,191,1,,28,38,,,3131,24863 WEST JAYNE AVENUE,93210,COALINGA,FRESNO,36.13147309,-120.2488996,6019
state,California,RICHARD A MCGEE CORRECTIONAL TRAINING CENTER GALT,12/2/2020,,22,,,,12,,,,9850 TWIN CITIES RD,95632,GALT,,38.2890255,-121.3279067,6067
state,California,RJD RICHARD J DONOVAN CORRECTIONAL FACILITY,12/2/2020,3,112,0,,3,100,,,,480 ALTA ROAD,92179,SAN DIEGO,SAN DIEGO,32.58456487,-116.9335763,6073
state,California,SAC CALIFORNIA STATE PRISON SACRAMENTO,12/2/2020,45,88,0,,12,57,,,2354,100 PRISON ROAD,95671,REPRESA,SACRAMENTO,38.69444411,-121.1539037,6067
federal,California,SAN DIEGO MCC,12/2/2020,192,,1,0,255,26,524,,,,,,,,,
state,California,SATF SUBSTANCE ABUSE TREATMENT FACILITY,12/2/2020,2231,311,3,,1223,160,,,,,,,,,,
state,California,SCC SIERRA CONSERVATION CENTER,12/2/2020,21,78,0,,17,55,,,4393,5100 OBYRNES FERRY ROAD,95327,JAMESTOWN,TUOLUMNE,37.89168856,-120.5365401,6109
state,California,SOL CALIFORNIA STATE PRISON SOLANO,12/2/2020,29,60,0,,12,48,,,4306,2100 PEABODY ROAD,95687,VACAVILLE,SOLANO,38.32077652,-121.9752369,6095
state,California,SQ CA STATE PRISON SAN QUENTIN,12/2/2020,2242,326,28,,2152,319,,,4032,MAIN STREET,94964,SAN QUENTIN,MARIN,37.94003982,-122.4903665,6041
state,California,STATE-WIDE,12/2/2020,,,,,,,"112,068",,,,,,,,,
state,California,SVSP SALINAS VALLEY STATE PRISON,12/2/2020,139,159,1,,128,130,,,2917,31625 HIGHWAY 101,93960,SOLEDAD,MONTEREY,36.47885699,-121.3743944,6053
federal,California,TERMINAL ISLAND FCI,12/2/2020,504,,10,0,564,26,755,,,1299 SEASIDE AVENUE,90731,SAN PEDRO,LOS ANGELES,33.726491,-118.2670631,6037
state,California,VENTURA,12/2/2020,,26,,,,21,,,,,,,,,,
federal,California,VICTORVILLE MEDIUM I FCI,12/2/2020,431,,1,0,341,18,"1,027",,,,,,,,,
federal,California,VICTORVILLE MEDIUM II FCI,12/2/2020,49,,0,0,80,25,667,,,13777 AIR EXPRESSWAY BOULEVARD,92394,VICTORVILLE,SAN BERNARDINO,34.56848411,-117.3583145,6071
federal,California,VICTORVILLE USP,12/2/2020,150,,0,0,139,21,984,,,,,,,,,
state,California,VSP VALLEY STATE PRISON,12/2/2020,697,108,0,,396,74,,,2999,21633 AVENUE 24,93610,CHOWCHILLA,MADERA,37.10547736,-120.1554719,6039
federal,California,WESTERN RO,12/2/2020,,,0,0,0,1,,,,,,,,,,
state,California,WSP WASCO STATE PRISON,12/2/2020,324,183,0,,283,163,,,4588,701 SCOFIELD AVENUE,93280,WASCO,KERN,35.59431189,-119.4083319,6029
state,Colorado,ARKANSAS VALLEY CORRECTIONAL FACILITY,12/2/2020,769,,2,,590,,"3,086",,,12750 HIGHWAY 96 AT LANE 13,81034,ORDWAY,CROWLEY,38.19146827,-103.8421854,8025
state,Colorado,ARROWHEAD CORRECTIONAL FACILITY,12/2/2020,222,,0,,49,,"3,576",,,E US HIGHWAY 50 AND EVANS BLVD,81212,CANON CITY,FREMONT,38.43610328,-105.1590956,8043
state,Colorado,BENT COUNTY CORRECTIONAL FACILITY,12/2/2020,181,,0,,18,,"3,270",,,11560 ROAD FF75,81054,LAS ANIMAS,BENT,38.06456309,-103.2047922,8011
state,Colorado,BUENA VISTA CORRECTIONAL COMPLEX,12/2/2020,295,,0,,257,,"13,228",,,5125 HWY 24  285,81211,BUENA VISTA,CHAFFEE,38.82210118,-106.1147135,8015
state,Colorado,CENTENNIAL CORRECTIONAL FACILITY,12/2/2020,61,,1,,37,,"8,142",,,E US HIGHWAY 50 EVANS BLVD,81215,CANON CITY,FREMONT,,,8043
state,Colorado,CENTENNIAL CORRECTIONAL SOUTH FACILITY,12/2/2020,61,,0,,38,,"8,142",,,,,,,,,
state,Colorado,COLORADO CORRECTIONAL CENTER,12/2/2020,1,,0,,1,,945,,,15445 SOUTH GOLDEN ROAD,80401,GOLDEN,JEFFERSON,39.73493736,-105.171343,8059
state,Colorado,COLORADO STATE PENITENTIARY,12/2/2020,31,,4,,24,,"3,049",,,E US HIGHWAY 50 EVANS BLVD,81215,CANON CITY,FREMONT,,,8043
state,Colorado,COLORADO TERRITORIAL CORRECTIONAL FACILITY,12/2/2020,484,,0,,166,,"5,372",,,275 WEST UNITED STATES HIGHWAY 50,81215,CANON CITY,FREMONT,38.43802317,-105.2486951,8043
state,Colorado,CROWLEY COUNTY CORRECTIONAL FACILITY,12/2/2020,374,,0,,323,,"9,214",,,6564 HIGHWAY 96,81062,OLNEY SPRINGS,CROWLEY,38.15673868,-103.9573023,8025
state,Colorado,DELTA CORRECTIONAL FACILITY,12/2/2020,11,,4,,-3,,737,,,11363 LOCKHART ROAD,81416,DELTA,DELTA,38.70911617,-108.1486112,8029
state,Colorado,DENVER RECEPTION DIAGNOSTIC CENTER,12/2/2020,8,,0,,8,,"5,030",,,10900 SMITH ROAD,80239,DENVER,DENVER,,,8031
state,Colorado,DENVER WOMENS CORRECTIONAL FACILITY,12/2/2020,37,,2,,9,,"5,763",,,3600 HAVANA STREET,80239,DENVER,DENVER,39.76510225,-104.860784,8031
federal,Colorado,ENGLEWOOD FCI,12/2/2020,154,,0,0,6,2,388,,,9595 WEST QUINCY AVE,80123,LITTLETON,JEFFERSON,39.64192027,-105.1055266,8059
federal,Colorado,FLORENCE ADMAX USP,12/2/2020,2,,0,0,1,0,62,,,,,,,,,
federal,Colorado,FLORENCE FCI,12/2/2020,167,,0,0,93,5,683,,,,,,,,,
federal,Colorado,FLORENCE HIGH USP,12/2/2020,45,,0,0,11,2,335,,,,,,,,,
state,Colorado,FOUR MILE CORRECTIONAL FACILITY,12/2/2020,350,,0,,190,,"1,919",,,E US HIGHWAY 50  EVANS BLVD,81212,CANON CITY,FREMONT,38.42976983,-105.1478509,8043
state,Colorado,FREMONT CORRECTIONAL FACILITY,12/2/2020,729,,0,,719,,"11,271",,,E US HIGHWAY 50 EVANS BLVD,81215,CANON CITY,FREMONT,,,8043
state,Colorado,LA VISTA CORRECTIONAL FACILITY,12/2/2020,10,,0,,7,,"1,687",,,1401 WEST 17TH STREET,81003,PUEBLO,PUEBLO,38.28484966,-104.6281974,8101
state,Colorado,LIMON CORRECTIONAL FACILITY,12/2/2020,396,,1,,1,,"1,716",,,,,,,,,
state,Colorado,RIFLE CORRECTIONAL CENTER,12/2/2020,1,,0,,1,,371,,,200 COUNTY ROAD 219,81650,RIFLE,GARFIELD,39.65016626,-107.7790488,8045
state,Colorado,SAN CARLOS CORRECTIONAL FACILITY,12/2/2020,8,,0,,6,,"1,612",,,1410 WEST 13TH STREET,81003,PUEBLO,PUEBLO,,,8101
state,Colorado,SKYLINE CORRECTIONAL CENTER,12/2/2020,0,,4,,-4,,91,,,,,,,,,
state,Colorado,STERLING CORRECTIONAL FACILITY,12/2/2020,961,,0,,706,,"16,006",,,12101 HIGHWAY 61,80751,STERLING,LOGAN,40.61123458,-103.1621015,8075
state,Colorado,TRINIDAD CORRECTIONAL FACILITY,12/2/2020,3,,0,,3,,"1,229",,,21000 HIGHWAY 350 EAST,81059,MODEL,LAS ANIMAS,37.30034613,-104.2866571,8071
state,Colorado,YOUTHFUL OFFENDER SYSTEM,12/2/2020,141,,4,,137,,"3,086",,,1300 WEST 13TH ST,81003,PUEBLO,PUEBLO,,,8101
